
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-07-01 12:21:16 /api/chat/unread-summary ............................................................. ~ 3.18ms
  2026-07-01 12:21:16 /api/leave-requests .................................................................. ~ 2.02ms
  2026-07-01 12:21:16 /api/attendance-time-edit-requests ................................................... ~ 3.03ms
  2026-07-01 12:21:16 /api/notifications ................................................................... ~ 1.64ms
  2026-07-01 12:21:16 /api/chat/unread-summary ............................................................. ~ 2.20ms
  2026-07-01 12:21:24 /api/leave-requests .................................................................. ~ 0.30ms
  2026-07-01 12:21:24 /api/attendance-time-edit-requests ................................................... ~ 0.10ms
  2026-07-01 12:21:24 /api/notifications ................................................................... ~ 1.82ms
  2026-07-01 12:21:24 /api/chat/unread-summary ............................................................. ~ 1.83ms
  2026-07-01 12:21:24 /api/leave-requests .................................................................. ~ 1.51ms
  2026-07-01 12:21:24 /api/attendance-time-edit-requests ................................................. ~ 504.78ms
  2026-07-01 12:21:25 /api/notifications ................................................................. ~ 504.42ms
  2026-07-01 12:21:25 /api/chat/unread-summary ............................................................. ~ 1.58ms
  2026-07-01 12:21:27 /api/employees/emp-003/workspace ..................................................... ~ 1.14ms
  2026-07-01 12:21:27 /api/employees/emp-003/workspace ..................................................... ~ 0.09ms
  2026-07-01 12:21:28 /api/employees/emp-003/workspace ..................................................... ~ 0.36ms
  2026-07-01 12:21:28 /api/employees/emp-003/workspace ..................................................... ~ 0.09ms
  2026-07-01 12:21:30 /api/employees/emp-003/workspace ..................................................... ~ 0.36ms
  2026-07-01 12:21:30 /api/employees/emp-003/workspace ..................................................... ~ 0.11ms
  2026-07-01 12:21:31 /api/employees/emp-003/workspace ..................................................... ~ 1.14ms
  2026-07-01 12:21:31 /api/employees/emp-003/workspace ..................................................... ~ 0.09ms
  2026-07-01 12:21:32 /api/leave-requests .................................................................. ~ 0.39ms
  2026-07-01 12:21:32 /api/attendance-time-edit-requests ................................................... ~ 3.12ms
  2026-07-01 12:21:32 /api/notifications ................................................................... ~ 6.00ms
  2026-07-01 12:21:32 /api/chat/unread-summary ............................................................. ~ 8.33ms
  2026-07-01 12:21:32 /api/leave-requests .................................................................. ~ 0.08ms
  2026-07-01 12:21:32 /api/attendance-time-edit-requests ................................................... ~ 1.61ms
  2026-07-01 12:21:32 /api/notifications ................................................................... ~ 1.51ms
  2026-07-01 12:21:32 /api/chat/unread-summary ............................................................. ~ 1.71ms
  2026-07-01 12:21:35 /api/employees/emp-003/workspace ..................................................... ~ 1.13ms
